id,created,status,error,parentid,trackerx,trackery,lp1h,lp2h,lp1w,lp2w,rp1h,rp2h,rp1w,rp2w,fw1,f2w,fw3,fw4,edge1,edge2
LIGHT-AND-WHAT-IT-DOES-00093,2020-03-25T18:01:29.422Z,pass,,1,240,231,79,79,81,82,0,-0.999699,0,-0.00252586,722,722,721,721,1,6
LIGHT-AND-WHAT-IT-DOES-00094,2020-03-25T18:01:29.570Z,pass,,1,249,499,61,79,66,82,0,-0.999699,0,-0.00252586,722,722,722,722,1,2
LIGHT-AND-WHAT-IT-DOES-00095,2020-03-25T18:01:29.695Z,pass,,1,232,203,61,79,66,82,0,-0.999699,0,-0.00252586,722,722,722,722,1,5
LIGHT-AND-WHAT-IT-DOES-00096,2020-03-25T18:01:29.825Z,pass,,1,246,240,61,79,66,82,0,-0.999699,0,-0.00252586,722,722,722,722,1,6
LIGHT-AND-WHAT-IT-DOES-00097,2020-03-25T18:01:29.985Z,pass,,1,240,225,79,79,81,82,0,-0.999699,0,-0.00252586,722,722,721,721,1,6
LIGHT-AND-WHAT-IT-DOES-00098,2020-03-25T18:01:30.128Z,pass,,1,259,431,79,79,16,82,0,-0.999699,0,-0.00252586,724,724,724,724,1,4
LIGHT-AND-WHAT-IT-DOES-00099,2020-03-25T18:01:30.272Z,pass,,1,231,198,79,79,16,82,0,-0.999699,0,-0.00252586,724,724,724,724,1,9
LIGHT-AND-WHAT-IT-DOES-00100,2020-03-25T18:01:30.407Z,pass,,1,231,196,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,724,724,0,6
LIGHT-AND-WHAT-IT-DOES-00101,2020-03-25T18:01:30.539Z,pass,,1,243,516,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,724,724,1,5
LIGHT-AND-WHAT-IT-DOES-00102,2020-03-25T18:01:30.665Z,pass,,1,243,224,79,79,80,82,0,-0.999699,0,-0.00252586,723,723,723,723,2,4
LIGHT-AND-WHAT-IT-DOES-00103,2020-03-25T18:01:30.827Z,pass,,1,256,428,4,79,2,82,0,-0.999699,0,-0.00252586,723,723,723,723,1,5
LIGHT-AND-WHAT-IT-DOES-00104,2020-03-25T18:01:30.949Z,pass,,1,232,194,79,79,81,80,0,-0.999699,0,-0.00252586,723,723,722,722,1,6
LIGHT-AND-WHAT-IT-DOES-00105,2020-03-25T18:01:31.072Z,pass,,1,243,493,79,79,81,80,0,-0.999699,0,-0.00252586,723,723,722,722,1,5
LIGHT-AND-WHAT-IT-DOES-00106,2020-03-25T18:01:31.225Z,pass,,1,243,226,79,79,81,82,0,-0.999699,0,-0.00252586,723,723,722,722,2,3
LIGHT-AND-WHAT-IT-DOES-00107,2020-03-25T18:01:31.350Z,pass,,1,231,191,79,79,81,81,0,-0.999699,0,-0.00252586,723,723,722,722,2,12
LIGHT-AND-WHAT-IT-DOES-00108,2020-03-25T18:01:31.504Z,pass,,1,245,489,79,79,81,81,0,-0.999699,0,-0.00252586,723,723,722,722,1,7
LIGHT-AND-WHAT-IT-DOES-00109,2020-03-25T18:01:31.656Z,pass,,1,231,188,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,723,723,2,3
LIGHT-AND-WHAT-IT-DOES-00110,2020-03-25T18:01:31.816Z,pass,,1,231,187,79,79,81,81,0,-0.999699,0,-0.00252586,722,722,721,721,1,2
LIGHT-AND-WHAT-IT-DOES-00111,2020-03-25T18:01:31.951Z,pass,,1,244,482,52,79,66,82,0,-0.999699,0,-0.00252586,722,722,722,722,2,4
LIGHT-AND-WHAT-IT-DOES-00112,2020-03-25T18:01:32.052Z,pass,,1,245,480,55,79,66,82,0,-0.999699,0,-0.00252586,723,723,723,723,0,1
LIGHT-AND-WHAT-IT-DOES-00113,2020-03-25T18:01:32.152Z,pass,,1,245,480,53,79,66,82,0,-0.999699,0,-0.00252586,717,717,717,717,1,10
LIGHT-AND-WHAT-IT-DOES-00114,2020-03-25T18:01:32.251Z,pass,,1,233,179,53,79,66,82,0,-0.999699,0,-0.00252586,717,717,717,717,0,2
LIGHT-AND-WHAT-IT-DOES-00115,2020-03-25T18:01:32.348Z,pass,,1,246,472,56,79,64,81,0,-0.999699,0,-0.00252586,724,724,724,724,0,1
LIGHT-AND-WHAT-IT-DOES-00116,2020-03-25T18:01:32.446Z,pass,,1,247,464,56,79,64,81,0,-0.999699,0,-0.00252586,724,724,724,724,1,3
LIGHT-AND-WHAT-IT-DOES-00117,2020-03-25T18:01:32.545Z,pass,,1,232,173,79,79,82,81,0,-0.999699,0,-0.00252586,724,724,724,724,1,3
LIGHT-AND-WHAT-IT-DOES-00118,2020-03-25T18:01:32.645Z,pass,,1,232,172,79,79,81,82,0,-0.999699,0,-0.00252586,724,724,724,724,1,2
LIGHT-AND-WHAT-IT-DOES-00119,2020-03-25T18:01:32.743Z,pass,,1,237,493,79,79,82,81,0,-0.999699,0,-0.00252586,721,721,720,720,1,6
LIGHT-AND-WHAT-IT-DOES-00120,2020-03-25T18:01:32.842Z,pass,,1,238,490,79,79,81,81,0,-0.999699,0,-0.00252586,721,721,720,720,2,3
LIGHT-AND-WHAT-IT-DOES-00121,2020-03-25T18:01:32.940Z,fail,more than 2 sprocket points detected,1,,,,,,,,,,,,,,,,,
LIGHT-AND-WHAT-IT-DOES-00122,2020-03-25T18:01:33.041Z,pass,,1,232,515,79,79,82,81,0,-0.999699,0,-0.00252586,721,721,716,716,2,7
LIGHT-AND-WHAT-IT-DOES-00123,2020-03-25T18:01:33.139Z,pass,,1,232,514,79,79,82,81,0,-0.999699,0,-0.00252586,717,717,723,723,2,4
LIGHT-AND-WHAT-IT-DOES-00124,2020-03-25T18:01:33.236Z,pass,,1,238,487,79,79,82,81,0,-0.999699,0,-0.00252586,721,721,723,723,1,5
LIGHT-AND-WHAT-IT-DOES-00125,2020-03-25T18:01:33.334Z,pass,,1,239,486,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,723,723,2,3
LIGHT-AND-WHAT-IT-DOES-00126,2020-03-25T18:01:33.431Z,fail,more than 2 sprocket points detected,1,,,,,,,,,,,,,,,,,
LIGHT-AND-WHAT-IT-DOES-00127,2020-03-25T18:01:33.533Z,pass,,1,241,484,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,724,724,2,0
LIGHT-AND-WHAT-IT-DOES-00128,2020-03-25T18:01:33.629Z,pass,,1,232,510,79,79,82,81,0,-0.999699,0,-0.00252586,724,724,723,723,5,0
LIGHT-AND-WHAT-IT-DOES-00129,2020-03-25T18:01:33.726Z,pass,,1,239,484,79,79,81,81,0,-0.999699,0,-0.00252586,724,724,723,723,8,0
LIGHT-AND-WHAT-IT-DOES-00130,2020-03-25T18:01:33.822Z,pass,,1,232,508,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,723,723,2,0
